date,description,amount,category
07/27,"ONLINE PAYMENT, THANK YOU",-$139.73,Transfer
07/10,TACO BELL 029551 CHESTER VA,$11.33,Dining
07/10,SHELL OIL 575410295QPS WILLIAMSBURG VA,$47.45,Other
07/12,CVS/PHARMACY #01549 MIDLOTHIAN VA,$3.25,Other
07/14,PUBLIX #1694 MIDLOTHIAN VA,$29.49,Groceries
07/15 07/15,DOMINOS 4256 MIDLOTHIAN VA,$11.64,Dining
07/31,CVS/PHARMACY #01549 MIDLOTHIAN VA,$7.45,Other
08/03,QLT*Habitat ReStore Williamsburg VA,$6.96,Other
08/03 08/03,PIZZA HUT 042350 MIDLOTHIAN VA,$13.78,Dining
08/05,ROYAL BAZAAR FARMERS M HENRICO VA,$66.29,Groceries
08/06 08/06,PARK'N GO RIC AIRPORT 8049057700 VA,$52.00,Other
08/10,TRADER JOE S #011 BREA CA,$82.51,Groceries
08/10,PROV ST JUDE PARKING FULLERTON CA,$5.00,Other
08/10,TOUS LES JOURS BREA BREA CA,$34.00,Dining
